feature	coefficient
TOTDIAG	0.41169611739484097
CONSULT0	-0.3977042419986446
NUMGIV	0.34341809920467964
NUMDIS	-0.30814053646081624
RETRNED0	0.3005542691296917
OBSSTAY	-0.24491288117540985
ZONENURS2	-0.20139047778076594
TOTCHRON	0.1901841858108685
CBC0	-0.16587651525896804
AGE	0.15822187055044012
BLOODCX0	-0.14761518347586594
RESINT0	-0.1365583004755958
RFV117903	0.13455310310298885
DIAG1R154090	0.12936959711166254
ARREMS2	-0.11656552176789588
PREGTEST0	0.1151997066093297
PTTINR0	-0.11340616387726311
PAYMCARE0	-0.10607421783712415
BOARD1	0.10606947091735842
AMBTRANSFER1	0.10372971376495811
DIAG1R103890	0.0974519273199551
ATTPHYS0	-0.09492583698932328
NOCHRON1	-0.08567980753999346
PROC0	-0.07937213660257766
DIAG1R157890	0.0726217906274383
DIAG1R157700	0.07103671633587955
CATRIAGE2	-0.06838875318253493
RACEUN1	0.060334433361469965
RESPR	0.05977215610948051
RACEUN-9	-0.05778145063515607
MED12805	0.054852038758755696
RFV131300	0.04992072985142559
DIAG1R148600	0.04860633593386731
RFV123050	0.047695903700940186
DIAG1R199859	0.046556819265511536
RFV13D1130	0.046405235671435605
TOTPROC	0.04594203562187393
RFV211450	0.04576918771627346
SUBSTAB0	0.04530576674747196
RFV123200	0.0450918642298458
MED199101	0.04459862332420232
PRDIAG30	0.04368460155260393
DIAG1R149391	0.04271932420282355
MED128495	0.04238388155074983
RFV217903	0.041925287592127276
OTHCX0	-0.04191788259424066
BPAP0	-0.04044249154384552
DIAG2R179902	0.039304903992791344
DIAG1R142731	0.03884524335260175
DIAG1R-9	0.037931173330383136
BOARD2	-0.03736976436745692
DIAG1R148700	0.03736124049459255
DIAG1R156090	0.03697571312645408
NUMMED	0.03678650962418641
MED195092	0.03647853647209961
RFV317903	0.03640805607427047
DIAG1R151884	0.03640005011925474
OBSHOSP0	-0.03523891654024794
DIAG1R182101	0.03500326250372964
RFV125250	0.03485160967781251
LOV468	0.03448797677442508
LOV0	0.03381644542838069
MUSTAGE22	-0.03341351539974867
MED194081	0.033373470785358336
RFV117551	0.032213626998105094
DIAG2R103890	0.03195492681743729
DIAG2R151289	0.03191017957464567
RFV215800	0.03134872817542167
MED16620	0.03106033205911823
DIAG1R154100	0.030859351250963434
LOV739	0.030637293195232094
DIAG1R141071	0.03031614072657152
LOV911	0.030306215241580517
RFV127350	0.030043299731636112
DIAG2R172252	0.02967036821635174
DIAG2R129644	0.029428124920595766
DIAG1R206285	0.02935377003652926
LOV1237	0.029207576067935066
LOV4	0.029124003344527145
LOV664	0.028368901396763284
DDIMER0	0.02787192999782851
RFV310121	0.027727955894578313
MED15291	0.027652255452751733
LOV959	-0.02725090583528889
DIAG2R142789	0.027188803138385044
DIAG1R170715	0.027131663072996443
DIAG2R142890	-0.02656772122786358
DIAG1R140100	0.026247271419006117
RFV223700	0.025827426254848858
DIAG1R179902	0.025815552610016716
LOV428	0.025650621570266593
DIAG2R173020	0.025002224670042945
RFV121450	0.02487955158593086
RFV316000	0.024701449641247243
DIAG2R107960	0.024636725240127926
DIAG1R129540	0.024476030249913086
STAY241	0.024412214130936676
DIAG1R129532	0.024299169738093707
DIAG1R158490	0.024122895459221978
DIAG1R153690	0.02407787724157289
VMONTH10	-0.023911187699847417
DIAG2R127620	0.02390146545571565
OBESITY0	-0.023729329116501024
MED118663	0.023691499057702337
LOV4283	-0.023555509775490004
DIAG1R148100	0.023316205980841633
DIAG2R157890	0.02290139655995405
DIAG2R156081	0.022451082600125925
DIAG2R171590	0.02243141502038106
DIAG1R149121	0.022036965567165605
LOV1245	0.021987690353672495
DIAG2R178602	0.02188928269385811
DIAG1R151990	0.021763581794476124
DIAG2R178240	0.02175146175448889
LOV1092	0.02166337109598128
CARDMON0	-0.021652425510442073
DIAG2R131290	0.021501460611939034
MED12725	0.021442045776330788
AMBDIV-8	0.021345914982623875
DIAG1R119910	0.021220611788230023
DIAG1R154000	0.021110182314957225
DIAG2R141519	0.02100782633175781
DIAG1R182382	0.020996842742776644
DIAG1R127620	0.020844315193411782
OTHPROV0	-0.020840457721906874
LOV512	0.020759337888161925
RFV119151	0.020749654225795423
DIAG2R153510	0.02034953789595316
DIAG2R157710	0.020014815571227598
DIAG1R127650	0.019972882310006317
XRAY0	-0.019900888368057954
LOV761	0.019697082404327545
DIAG2R128860	0.01943132319882519
MED110225	0.019166362249224835
LOV505	0.019019961308340848
DIAG1R128860	0.01901204079816374
LOV400	0.018947545836492257
RFV312352	0.018920308208916187
MUSTAGE11	-0.01879553183110874
RFV115153	0.018766426632828338
DIAG1R119850	0.018502780248999443
DIAG1R134530	0.018476665550504416
DIAG1R158600	0.018411560869673972
TEMPF1061	0.018403265912714687
LOV364	0.018266851005521462
LOV444	0.018212382174487122
RFV118950	0.018130904712477514
RFV114150	0.018066054886696943
RFV310150	-0.01799008498956767
DIAG2R131900	0.01790034543487549
RFV351100	0.01788964589724991
DIAG1R142090	0.01759913552850701
DIAG1R194320	0.017590213237143094
MED197163	-0.01737031797894562
LOV5397	0.017288174033798013
DIAG1R145420	0.017255960958605807
TEMPF1048	0.017205192865964298
MRI0	-0.016896110571266224
RFV326650	0.016705161658013126
DIAG2R141070	0.01631136633025096
RFV332400	-0.016261311636499316
DIAG2R115390	0.016047989510826113
DIAG1R141519	0.015906616447032014
DIAG1R125013	0.01589250578310016
DIAG1R129643	0.015868859197390544
DIAG1R152640	0.015822896352316623
DIAG1R100920	0.015774670734478184
DIAG2R194410	0.015409148959114275
LOV2938	0.015379997725534618
CHF0	-0.01509349857772078
OSA0	-0.015010876187270037
LOV4677	-0.014818103957726095
WIRELESS2	-0.014812967563267044
DIAG1R156211	0.014737586493144498
LOV1577	0.014670954778282954
DIAG2R127700	0.014559867092248897
